fly,飛ぶ
foot,足
fork,フォーク/熊手/分岐
fowl,家禽/鶏肉
frame,骨組み/枠組み
garden,庭いじりをする
girl,令嬢/娘
glove,手袋/グローブト
goat,山羊
gun,銃
hair,毛/髪の毛
hammer,ハンマー/鎚
hand,手/人手
hat,帽子
head,アタマ
heart,こころ/ハート/心臓
hook,鉤/フック
horn,角
horse,馬
hospital,病院/ホスピタル
house,家/家庭
island,島
jewel,宝石
kettle,湯わかし/釜/やかん
key,鍵/カギ
knee,ひざ
knife,ナイフ
knot,結ぶ
leaf,葉っぱ
leg,脚/区間
library,ライブラリ/図書館
line,線
lip,くちびる
lock,かぎ
map,地図
match,試合/調和の取れたもの
monkey,さる
moon,月
mouth,口
muscle,筋肉
nail,つめ
neck,首
needle,はり
nerve,神経
net,ネット/網
nose,鼻
nuts,木の実
office,オフィス/事務所
orange,オレンジがかった/オレンジ色の
oven,天火/オーブン
parcel,小包
pen,ペン/筆記用具
pencil,鉛筆
picture,絵/写真
pig,ぶた
pin,ピン/鋲
pipe,パイプ/筒/管
plane,平ら/平面
plate,平皿/平板
cultivate,耕す/鋤く
pocket,懐中/ポケット
pot,つぼ/鉢
potato,ジャガイモ
prison,牢屋/監獄
pump,注入する/吸い出す
rail,横木/柵/レール/鉄道
rat,ネズミ
receipt,受取り/受領書/領収書
ring,鳴り響く/電話をかける
rod,棒
roof,屋根/天井
root,根っこ
sail,帆
school,学校
scissors,はさみ
screw,ねじる/ひねる
seed,たね
sheep,ヒツジ
shelf,棚
ship,船
shirt,シャツ
shoe,くつ
skin,ひふ
skirt,スカート
snake,ヘビ
sock,ぶん殴る
spade,スペード/スコップ/ショベル
sponge,スポンジ
spoon,スプーン/さじ
spring,春/泉
square,四角
stamp,スタンプ/印
star,星
station,駅
stem,茎/柄
stick,ステッキ/杖
stocking,ストッキング/長靴下
stomach,胃
store,商店
street,ストリート/街路
sun,太陽
table,テーブル/一覧表
tail,尻尾
thread,糸
throat,のど
thumb,おやゆび
ticket,チケット/券
tongue,舌
tooth,歯
town,町
train,列車
tray,お盆/トレー
tree,木/樹木
trousers,ズボン
umbrella,かさ
wall,カベ
watch,時計/見張り
wheel,車輪
whip,むち打ち
whistle,口笛/ホイッスル
window,ウィンドウ/窓
wing,つばさ
wire,針金/電線
worm,虫/いも虫
able,可能な
acid,すっぱい/酸味がある
angry,怒った
automatic,自動的な/自動的な
beautiful,美しい/きれいな
black,黒い
boiling,煮えた/ゆでた
bright,明々と
broken,壊れた
brown,茶色い
cheap,安上がりな/安っぽい
chemical,化学的な
chief,主要な/重要な
clean,きれいな/清潔な
clear,明るい/澄んだ
common,共通の/公共の
complex,複雑な/ややこしい
conscious,気づいて/意識して
cut,カットされた/切り詰めた
deep,深い
dependent,依存した/頼った
early,早い
elastic,弾力のある
electric,電気の/電動の
equal,等しい/均等な
fat,太った
fertile,肥えた/繁殖力のある
first,最初に/まず
fixed,固定した/一定の
flat,フラット/平らな
free,自由な/無料の
frequent,よくある/ひんぱんにある
full,いっぱいの
general,世間一般の/一般的な
good,良い
great,偉大な/すごい
gray,灰色の
hanging,つりさげ
happy,しあわせな
hard,必死に
healthy,健康な
high,高い
hollow,空っぽな/へこんだ
important,重要な/大切な
kind,親切な
like,同じような
living,生きている/活気のある
long,長い
male,男性/オス
married,結婚している
material,実質的/物質的
medical,医療
military,軍事的な
natural,自然な/天然の
necessary,必然的
new,新しい
normal,正常な/標準の/一般的な
open,開いた/あいた
parallel,平行な/並んだ
past,通り越して/通り過ぎて
physical,物理的/物質的/物的
political,政治的な
poor,貧乏な/貧弱な
possible,ありうる/潜在的
present,現在の
private,秘密の
probable,ありそうな
quick,素早い/早い
quiet,静かな
ready,準備のできた
red,赤い
regular,普通の/いつもの
responsible,責任がある
right,正確な
round,まるい
same,同じ
second,第2に/次に
separate,分かれた
serious,まじめな/重大な
sharp,するどい/俊敏な
smooth,なめらかな/穏やか
sticky,粘っこい
stiff,こわばった
straight,まっすぐな
strong,力強い/確か
sudden,急激/突発的
sweet,優しい/あまい
tall,高い
thick,濃い
tight,窮屈な
tired,疲れた/くたびれた
true,正確な
violent,暴力的
waiting,待ち時間
warm,暖める
wet,ぬれた
wide,幅広い
wise,かしこい才
yellow,黄色い
young,若い
awake,覚めた
bad,ひどい/悪い
bent,まがった
bitter,苦い
blue,青い
certain,確かな
cold,冷たい
complete,完全な
cruel,無情な
dark,暗い
dead,枯れた/死んだ/麻痺した
dear,親愛な/かわいい
different,変わった
dirty,汚れた
dry,乾いた
false,間違った
feeble,弱々しい/かすかな
female,牝/雌/メス
foolish,おろかな
future,未来の形容詞】
green,緑色の
ill,不完全な/病気の
last,臨終の/最期の
late,遅れた
left,左の
loose,なまけた
loud,うるさい
low,低い
mixed,まざった
narrow,せまい
old,古い
opposite,向かい合わせの/反対側の
public,パブリック/公的な
rough,荒い
sad,残念な
safe,安全な/安心の
secret,秘密の
short,短い
shut,閉じた
simple,シンプルな/単純な
slow,遅い/ゆっくりな
small,小さい
soft,柔らかな
solid,固体の
special,特別の
strange,奇妙な
thin,痩せた/細い
white,白い
wrong,不正確な/間違った
world,世界
data,データ
also,もまた
mobile,モバイル
economic,経済
around,周りに
president,大統領/社長
financial,財務上の/金融の
international,国際的な
social,社会
already,すでに
information,情報
